LOCATION_CITY,SECTOR,CAPACITY_ACTUAL_ROOM,OCCUPIED_ROOMS
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,75,75
North York,Families,154,154
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,81,81
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,47,47
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,58
Toronto,Mixed Adult,69,68
Scarborough,Youth,46,46
North York,Mixed Adult,262,262
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,2,2
Toronto,Mixed Adult,67,67
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,75,75
North York,Families,154,154
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,63
North York,Mixed Adult,12,12
North York,Mixed Adult,82,81
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,47,47
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,58
Toronto,Mixed Adult,69,68
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,2,2
Toronto,Mixed Adult,67,67
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,75,75
North York,Families,154,154
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,63
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,47,47
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,58
Toronto,Mixed Adult,69,68
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,2,2
Toronto,Mixed Adult,67,67
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,75,75
North York,Families,155,155
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,12
North York,Mixed Adult,83,83
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,47,47
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,59
Toronto,Mixed Adult,69,68
Scarborough,Youth,46,46
North York,Mixed Adult,270,270
Toronto,Men,47,47
Scarborough,Mixed Adult,325,325
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,2,2
Toronto,Mixed Adult,67,67
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,75,75
North York,Families,155,155
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,47,47
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,59
Toronto,Mixed Adult,69,68
Scarborough,Youth,46,46
North York,Mixed Adult,270,270
Toronto,Men,47,47
Scarborough,Mixed Adult,325,325
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,2,2
Toronto,Mixed Adult,67,66
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,74,74
North York,Families,155,155
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,47,46
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,59
Toronto,Families,33,33
Toronto,Mixed Adult,65,61
Toronto,Mixed Adult,69,66
Scarborough,Youth,46,46
North York,Mixed Adult,271,271
Toronto,Men,47,47
Scarborough,Mixed Adult,325,325
Toronto,Mixed Adult,188,188
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,2,2
Toronto,Mixed Adult,66,66
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,155,155
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,11
North York,Mixed Adult,83,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,59
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,69,66
Scarborough,Youth,46,45
North York,Mixed Adult,271,271
Toronto,Men,47,47
Scarborough,Mixed Adult,329,329
Toronto,Mixed Adult,190,190
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,2,2
Toronto,Mixed Adult,65,65
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,71
North York,Families,156,156
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,11,11
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,59
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,270,269
Toronto,Men,47,47
Scarborough,Mixed Adult,328,328
Toronto,Mixed Adult,190,190
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,3,3
Toronto,Mixed Adult,65,64
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,71,71
North York,Families,155,155
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,11,11
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,59
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,269,269
Toronto,Men,47,47
Scarborough,Mixed Adult,328,328
Toronto,Mixed Adult,190,190
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,3,3
Toronto,Mixed Adult,65,64
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,71,71
North York,Families,155,155
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,328,328
Toronto,Mixed Adult,190,190
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,3,3
Toronto,Mixed Adult,65,64
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,53,53
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,156,156
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,19,19
Vaughan,Mixed Adult,60,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,61
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,326,326
Toronto,Mixed Adult,190,190
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,4,4
Toronto,Mixed Adult,64,64
Toronto,Families,74,73
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,53,53
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,149
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,326,326
Toronto,Mixed Adult,190,190
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,4,4
Toronto,Mixed Adult,64,64
Toronto,Families,74,73
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,149
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,63
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,268,268
Toronto,Men,47,47
Scarborough,Mixed Adult,325,325
Toronto,Mixed Adult,190,190
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,5,5
Toronto,Mixed Adult,63,63
Toronto,Families,74,74
Toronto,Mixed Adult,46,46
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,104,104
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,63
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,269,268
Toronto,Men,47,47
Scarborough,Mixed Adult,325,325
Toronto,Mixed Adult,189,189
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,5,5
Toronto,Mixed Adult,63,63
Toronto,Families,74,74
Toronto,Mixed Adult,47,47
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,104,104
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,63
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,267,267
Toronto,Men,47,47
Scarborough,Mixed Adult,325,325
Toronto,Mixed Adult,189,189
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,5,5
Toronto,Mixed Adult,63,63
Toronto,Families,75,75
Toronto,Mixed Adult,47,47
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,104,104
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,63
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,267,267
Toronto,Men,47,47
Scarborough,Mixed Adult,324,324
Toronto,Mixed Adult,189,189
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,5,5
Toronto,Mixed Adult,63,63
Toronto,Families,75,75
Toronto,Mixed Adult,47,47
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,104,104
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,63
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,267,267
Toronto,Men,47,47
Scarborough,Mixed Adult,324,324
Toronto,Mixed Adult,189,189
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,5,5
Toronto,Mixed Adult,63,63
Toronto,Families,75,75
Toronto,Mixed Adult,48,47
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,104,104
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,267,267
Toronto,Men,47,47
Scarborough,Mixed Adult,323,323
Toronto,Mixed Adult,189,189
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,5,5
Toronto,Mixed Adult,63,63
Toronto,Families,75,75
Toronto,Mixed Adult,48,47
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,104,104
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,57
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,266,266
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,5,5
Toronto,Mixed Adult,63,62
Toronto,Families,75,75
Toronto,Mixed Adult,48,48
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,13,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,105,105
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,58
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,266,266
Toronto,Men,47,47
Scarborough,Mixed Adult,321,321
Toronto,Mixed Adult,189,189
Toronto,Men,31,31
Toronto,Women,33,33
Toronto,Families,5,5
Toronto,Mixed Adult,63,62
Toronto,Families,75,75
Toronto,Mixed Adult,48,48
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,82,81
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,105,105
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,59
Toronto,Families,33,33
Toronto,Mixed Adult,65,61
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,264,264
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,6,6
Toronto,Mixed Adult,62,62
Toronto,Families,75,75
Toronto,Mixed Adult,48,48
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,130,130
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,71,71
North York,Families,157,157
Etobicoke,Mixed Adult,151,151
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,83,82
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,105,105
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,60
Toronto,Families,33,33
Toronto,Mixed Adult,65,61
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,265,265
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,6,6
Toronto,Mixed Adult,62,62
Toronto,Families,75,74
Toronto,Mixed Adult,48,48
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,63
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,105,105
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,60
Toronto,Families,33,33
Toronto,Mixed Adult,65,61
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,265,265
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,6,6
Toronto,Mixed Adult,62,62
Toronto,Families,74,74
Toronto,Mixed Adult,48,48
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,72,72
North York,Families,157,157
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,63
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,105,105
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,60
Toronto,Families,33,33
Toronto,Mixed Adult,65,61
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,265,265
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,6,6
Toronto,Mixed Adult,62,62
Toronto,Families,74,74
Toronto,Mixed Adult,48,48
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,73,73
North York,Families,157,157
Etobicoke,Mixed Adult,149,149
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,63
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,105,105
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,59
Toronto,Families,33,33
Toronto,Mixed Adult,65,61
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,263,263
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,6,6
Toronto,Mixed Adult,62,62
Toronto,Families,74,74
Toronto,Mixed Adult,48,48
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,26
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,73,73
North York,Families,157,157
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,63
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,105,105
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,59
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,260,260
Toronto,Men,47,47
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,6,6
Toronto,Mixed Adult,62,62
Toronto,Families,74,74
Toronto,Mixed Adult,49,49
Toronto,Families,78,78
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
Toronto,Families,4,4
Toronto,Families,26,25
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,73,73
North York,Families,157,157
Etobicoke,Mixed Adult,150,150
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,63
North York,Mixed Adult,13,13
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,105,105
Toronto,Families,46,46
Toronto,Families,50,50
Toronto,Families,20,20
Vaughan,Mixed Adult,60,59
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,65,65
Scarborough,Youth,46,46
North York,Mixed Adult,260,260
Toronto,Men,47,47
Scarborough,Mixed Adult,325,325
Toronto,Mixed Adult,189,189
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,6,6
Toronto,Mixed Adult,62,62
Toronto,Families,74,74
Toronto,Mixed Adult,49,49
Toronto,Families,78,77
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,53,53
